Cycle 0: Row 3, Column 1
Cycle 1: Row 4, Column 3
Cycle 2: Row 3, Column 2
Cycle 3: Row 3, Column 1
Cycle 4: Row 3, Column 4
Cycle 5: Row 2, Column 2
Cycle 6: Row 4, Column 3
Cycle 7: Row 1, Column 4
Cycle 8: Row 2, Column 3
Cycle 9: Row 1, Column 1
Cycle 10: Row 1, Column 1
Cycle 11: Row 1, Column 1
Cycle 12: Row 1, Column 4
Cycle 13: Row 1, Column 3
Cycle 14: Row 3, Column 2
Cycle 15: Row 4, Column 4
Cycle 16: Row 4, Column 1
Cycle 17: Row 3, Column 3
Cycle 18: Row 2, Column 3
Cycle 19: Row 4, Column 3
Cycle 20: Row 3, Column 2
Cycle 21: Row 3, Column 2
Cycle 22: Row 1, Column 2
Cycle 23: Row 4, Column 2
Cycle 24: Row 2, Column 2
Cycle 25: Row 2, Column 3
Cycle 26: Row 3, Column 2
Cycle 27: Row 1, Column 1
Cycle 28: Row 1, Column 2
Cycle 29: Row 2, Column 3
Cycle 30: Row 2, Column 4
Cycle 31: Row 4, Column 4
Cycle 32: Row 2, Column 3
Cycle 33: Row 3, Column 1
Cycle 34: Row 2, Column 4
Cycle 35: Row 3, Column 3
Cycle 36: Row 4, Column 4
Cycle 37: Row 4, Column 3
Cycle 38: Row 4, Column 1
Cycle 39: Row 4, Column 3
Cycle 40: Row 2, Column 2
Cycle 41: Row 2, Column 2
Cycle 42: Row 4, Column 2
Cycle 43: Row 1, Column 4
Cycle 44: Row 2, Column 2
Cycle 45: Row 4, Column 1
Cycle 46: Row 2, Column 1
Cycle 47: Row 3, Column 4
Cycle 48: Row 3, Column 3
Cycle 49: Row 2, Column 4
Cycle 50: Row 2, Column 3
Cycle 51: Row 3, Column 4
Cycle 52: Row 3, Column 4
Cycle 53: Row 4, Column 4
Cycle 54: Row 4, Column 3
Cycle 55: Row 2, Column 2
Cycle 56: Row 4, Column 1
Cycle 57: Row 4, Column 4
Cycle 58: Row 2, Column 3
Cycle 59: Row 4, Column 4
Cycle 60: Row 3, Column 2
Cycle 61: Row 2, Column 3
Cycle 62: Row 3, Column 2
Cycle 63: Row 4, Column 3
Cycle 64: Row 3, Column 2
Cycle 65: Row 3, Column 4
Cycle 66: Row 3, Column 1
Cycle 67: Row 1, Column 4
Cycle 68: Row 4, Column 1
Cycle 69: Row 1, Column 2
Cycle 70: Row 1, Column 2
Cycle 71: Row 3, Column 3
Cycle 72: Row 4, Column 1
Cycle 73: Row 1, Column 2
Cycle 74: Row 2, Column 4
Cycle 75: Row 2, Column 4
Cycle 76: Row 1, Column 2
Cycle 77: Row 2, Column 2
Cycle 78: Row 2, Column 1
Cycle 79: Row 4, Column 1
Cycle 80: Row 2, Column 3
Cycle 81: Row 3, Column 1
Cycle 82: Row 4, Column 1
Cycle 83: Row 2, Column 4
Cycle 84: Row 4, Column 3
Cycle 85: Row 3, Column 2
Cycle 86: Row 2, Column 2
Cycle 87: Row 2, Column 1
Cycle 88: Row 4, Column 1
Cycle 89: Row 4, Column 1
Cycle 90: Row 3, Column 1
Cycle 91: Row 2, Column 1
Cycle 92: Row 1, Column 2
Cycle 93: Row 1, Column 4
Cycle 94: Row 2, Column 2
Cycle 95: Row 1, Column 3
Cycle 96: Row 1, Column 3
Cycle 97: Row 1, Column 3
Cycle 98: Row 4, Column 1
Cycle 99: Row 1, Column 4
Cycle 100: Row 1, Column 1
Cycle 101: Row 1, Column 3
Cycle 102: Row 3, Column 4
Cycle 103: Row 1, Column 1
Cycle 104: Row 4, Column 3
Cycle 105: Row 2, Column 2
Cycle 106: Row 2, Column 3
Cycle 107: Row 1, Column 3
Cycle 108: Row 3, Column 2
Cycle 109: Row 2, Column 1
Cycle 110: Row 4, Column 4
Cycle 111: Row 3, Column 3
Cycle 112: Row 3, Column 2
Cycle 113: Row 2, Column 2
Cycle 114: Row 3, Column 2
Cycle 115: Row 2, Column 1
Cycle 116: Row 4, Column 3
Cycle 117: Row 1, Column 1
Cycle 118: Row 1, Column 3
Cycle 119: Row 3, Column 3
Cycle 120: Row 1, Column 1
Cycle 121: Row 2, Column 2
Cycle 122: Row 4, Column 3
Cycle 123: Row 1, Column 2
Cycle 124: Row 1, Column 4
Cycle 125: Row 2, Column 3
Cycle 126: Row 3, Column 2
Cycle 127: Row 2, Column 3
Cycle 128: Row 3, Column 3
Cycle 129: Row 4, Column 4
Cycle 130: Row 4, Column 4
Cycle 131: Row 2, Column 3
Cycle 132: Row 1, Column 2
Cycle 133: Row 4, Column 4
Cycle 134: Row 1, Column 2
Cycle 135: Row 3, Column 2
Cycle 136: Row 4, Column 2
Cycle 137: Row 3, Column 3
Cycle 138: Row 3, Column 3
Cycle 139: Row 2, Column 1
Cycle 140: Row 2, Column 4
Cycle 141: Row 4, Column 4
Cycle 142: Row 4, Column 4
Cycle 143: Row 2, Column 2
Cycle 144: Row 2, Column 1
Cycle 145: Row 2, Column 3
Cycle 146: Row 3, Column 4
Cycle 147: Row 4, Column 2
Cycle 148: Row 4, Column 4
Cycle 149: Row 2, Column 3
Cycle 150: Row 3, Column 1
Cycle 151: Row 1, Column 2
Cycle 152: Row 3, Column 3
Cycle 153: Row 2, Column 1
Cycle 154: Row 4, Column 3
Cycle 155: Row 4, Column 4
Cycle 156: Row 4, Column 4
Cycle 157: Row 1, Column 2
Cycle 158: Row 4, Column 4
Cycle 159: Row 1, Column 4
Cycle 160: Row 3, Column 4
Cycle 161: Row 3, Column 2
Cycle 162: Row 1, Column 1
Cycle 163: Row 3, Column 2
Cycle 164: Row 4, Column 1
Cycle 165: Row 1, Column 3
Cycle 166: Row 4, Column 2
Cycle 167: Row 2, Column 1
Cycle 168: Row 1, Column 4
Cycle 169: Row 3, Column 3
Cycle 170: Row 2, Column 2
Cycle 171: Row 3, Column 1
Cycle 172: Row 4, Column 4
Cycle 173: Row 2, Column 2
Cycle 174: Row 1, Column 1
Cycle 175: Row 1, Column 2
Cycle 176: Row 2, Column 1
Cycle 177: Row 1, Column 1
Cycle 178: Row 4, Column 4
Cycle 179: Row 3, Column 3
Cycle 180: Row 1, Column 2
Cycle 181: Row 1, Column 4
Cycle 182: Row 2, Column 2
Cycle 183: Row 4, Column 2
Cycle 184: Row 1, Column 1
Cycle 185: Row 3, Column 2
Cycle 186: Row 1, Column 3
Cycle 187: Row 4, Column 2
Cycle 188: Row 2, Column 2
Cycle 189: Row 1, Column 4
Cycle 190: Row 3, Column 4
Cycle 191: Row 1, Column 3
Cycle 192: Row 3, Column 3
Cycle 193: Row 4, Column 1
Cycle 194: Row 3, Column 3
Cycle 195: Row 3, Column 1
Cycle 196: Row 4, Column 1
Cycle 197: Row 4, Column 2
Cycle 198: Row 4, Column 4
Cycle 199: Row 1, Column 4
Cycle 200: Row 3, Column 4
Cycle 201: Row 3, Column 3
Cycle 202: Row 3, Column 1
Cycle 203: Row 2, Column 2
Cycle 204: Row 3, Column 1
Cycle 205: Row 3, Column 4
Cycle 206: Row 4, Column 4
Cycle 207: Row 4, Column 2
Cycle 208: Row 4, Column 2
Cycle 209: Row 3, Column 3
Cycle 210: Row 2, Column 3
Cycle 211: Row 2, Column 1
Cycle 212: Row 2, Column 1
Cycle 213: Row 4, Column 2
Cycle 214: Row 3, Column 3
Cycle 215: Row 4, Column 1
Cycle 216: Row 3, Column 4
Cycle 217: Row 1, Column 1
Cycle 218: Row 4, Column 3
Cycle 219: Row 3, Column 1
Cycle 220: Row 1, Column 4
Cycle 221: Row 3, Column 2
Cycle 222: Row 4, Column 3
Cycle 223: Row 2, Column 2
