time	V(mreal)	V(vc)	V(vinput)	V(vobser)	V(vtest)
0.000000000000000e+000	1.000000e+000	1.816683e-002	-5.183219e-001	1.290293e-001	2.000000e+006
9.999999717180685e-010	1.000000e+000	1.816683e-002	-5.183219e-001	1.290293e-001	2.000000e+006
1.999999943436137e-009	1.000000e+000	1.816683e-002	-5.183219e-001	1.290293e-001	2.000000e+006
1.599999954748910e-008	1.000000e+000	1.816683e-002	-5.183219e-001	1.290293e-001	2.000000e+006
6.399999818995639e-008	1.000000e+000	1.816683e-002	-5.183219e-001	1.290295e-001	2.000000e+006
1.279999963799128e-007	1.000000e+000	1.816683e-002	-5.183219e-001	1.290298e-001	2.000000e+006
2.559999927598256e-007	1.000000e+000	1.816683e-002	-5.183219e-001	1.290302e-001	2.000000e+006
5.119999855196511e-007	1.000000e+000	1.816683e-002	-5.183219e-001	1.290306e-001	2.000000e+006
1.023999971039302e-006	1.000000e+000	1.816683e-002	-5.183219e-001	1.290310e-001	2.000000e+006
2.047999942078604e-006	1.000000e+000	1.816683e-002	-5.183219e-001	1.290315e-001	2.000000e+006
4.095999884157209e-006	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
8.191999768314418e-006	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
1.638399953662884e-005	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
3.276799907325767e-005	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
6.553599814651534e-005	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
5.242879851721227e-004	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
1.048575970344245e-003	1.000000e+000	1.816683e-002	-5.183219e-001	1.290319e-001	2.000000e+006
1.170646282844245e-003	1.000000e+000	1.816683e-002	-5.183219e-001	1.290319e-001	2.000000e+006
1.414786907844245e-003	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
4.500000000000000e-002	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
4.529296875000000e-002	1.000000e+000	1.816823e-002	-5.183082e-001	1.290318e-001	1.885449e+006
4.568359375000000e-002	1.000000e+000	1.817413e-002	-5.182493e-001	1.290319e-001	1.732715e+006
4.646484375000000e-002	1.000000e+000	1.820149e-002	-5.179765e-001	1.290319e-001	1.427246e+006
4.744140625000000e-002	1.000000e+000	1.827603e-002	-5.172327e-001	1.290319e-001	1.045410e+006
4.841796875000000e-002	1.000000e+000	1.845976e-002	-5.153998e-001	1.290320e-001	6.635742e+005
4.939453125000000e-002	1.000000e+000	1.916977e-002	-5.083361e-001	1.290327e-001	2.817383e+005
5.000000000000000e-002	1.000000e+000	2.026781e-002	-4.974244e-001	1.290342e-001	4.500000e+004
5.009765625000000e-002	1.000000e+000	2.068622e-002	-4.932406e-001	1.290342e-001	4.500000e+004
5.029296875000000e-002	1.000000e+000	2.152211e-002	-4.848819e-001	1.290343e-001	4.500000e+004
5.171595982142857e-002	1.000000e+000	2.757348e-002	-4.243682e-001	1.290338e-001	4.500000e+004
5.313895089285715e-002	1.000000e+000	3.356151e-002	-3.644877e-001	1.290340e-001	4.500000e+004
5.456194196428572e-002	1.000000e+000	3.948622e-002	-3.052406e-001	1.290350e-001	4.500000e+004
5.598493303571429e-002	1.000000e+000	4.534759e-002	-2.466268e-001	1.290367e-001	4.500000e+004
5.740792410714286e-002	1.000000e+000	5.114563e-002	-1.886463e-001	1.290391e-001	4.500000e+004
5.883091517857143e-002	1.000000e+000	5.688035e-002	-1.312990e-001	1.290423e-001	4.500000e+004
6.025390625000000e-002	1.000000e+000	6.255173e-002	-7.458512e-002	1.290462e-001	4.500000e+004
6.123046875000000e-002	1.000000e+000	6.640861e-002	-3.601627e-002	1.290491e-001	4.500000e+004
6.220703125000000e-002	1.000000e+000	7.023669e-002	2.264520e-003	1.290498e-001	4.500000e+004
6.318359375000000e-002	1.000000e+000	7.403617e-002	4.025940e-002	1.290418e-001	4.500000e+004
6.416015625000000e-002	1.000000e+000	7.780728e-002	7.797050e-002	1.290272e-001	4.500000e+004
6.513671875000000e-002	1.000000e+000	8.155022e-002	1.153999e-001	1.290222e-001	4.500000e+004
6.806640625000000e-002	1.000000e+000	9.261213e-002	2.260193e-001	1.290272e-001	4.500000e+004
6.890345982142858e-002	1.000000e+000	9.572694e-002	2.571674e-001	1.290278e-001	4.500000e+004
6.974051339285714e-002	1.000000e+000	9.882211e-002	2.881191e-001	1.290282e-001	4.500000e+004
7.057756696428572e-002	1.000000e+000	1.018976e-001	3.188744e-001	1.290286e-001	4.500000e+004
7.141462053571429e-002	1.000000e+000	1.049535e-001	3.494334e-001	1.290290e-001	4.500000e+004
