time	V(mreal)	V(vc)	V(vinput)	V(vobser)	V(vtest)
0.000000000000000e+000	1.000000e+000	1.816683e-002	-5.183219e-001	1.290293e-001	2.000000e+006
9.999999717180685e-010	1.000000e+000	1.816683e-002	-5.183219e-001	1.290293e-001	2.000000e+006
1.999999943436137e-009	1.000000e+000	1.816683e-002	-5.183219e-001	1.290293e-001	2.000000e+006
1.599999954748910e-008	1.000000e+000	1.816683e-002	-5.183219e-001	1.290293e-001	2.000000e+006
6.399999818995639e-008	1.000000e+000	1.816683e-002	-5.183219e-001	1.290295e-001	2.000000e+006
1.279999963799128e-007	1.000000e+000	1.816683e-002	-5.183219e-001	1.290298e-001	2.000000e+006
2.559999927598256e-007	1.000000e+000	1.816683e-002	-5.183219e-001	1.290302e-001	2.000000e+006
5.119999855196511e-007	1.000000e+000	1.816683e-002	-5.183219e-001	1.290306e-001	2.000000e+006
1.023999971039302e-006	1.000000e+000	1.816683e-002	-5.183219e-001	1.290310e-001	2.000000e+006
2.047999942078604e-006	1.000000e+000	1.816683e-002	-5.183219e-001	1.290315e-001	2.000000e+006
4.095999884157209e-006	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
8.191999768314418e-006	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
1.638399953662884e-005	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
3.276799907325767e-005	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
6.553599814651534e-005	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
5.242879851721227e-004	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
1.048575970344245e-003	1.000000e+000	1.816683e-002	-5.183219e-001	1.290319e-001	2.000000e+006
1.170646282844245e-003	1.000000e+000	1.816683e-002	-5.183219e-001	1.290319e-001	2.000000e+006
1.414786907844245e-003	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
4.500000000000000e-002	1.000000e+000	1.816683e-002	-5.183219e-001	1.290318e-001	2.000000e+006
4.529296875000000e-002	1.000000e+000	1.816820e-002	-5.183084e-001	1.290318e-001	1.887500e+006
4.568359375000000e-002	1.000000e+000	1.817398e-002	-5.182509e-001	1.290319e-001	1.737500e+006
4.646484375000000e-002	1.000000e+000	1.820059e-002	-5.179855e-001	1.290319e-001	1.437500e+006
4.744140625000000e-002	1.000000e+000	1.827232e-002	-5.172697e-001	1.290319e-001	1.062500e+006
4.841796875000000e-002	1.000000e+000	1.844261e-002	-5.155706e-001	1.290320e-001	6.875000e+005
4.939453125000000e-002	1.000000e+000	1.894348e-002	-5.105826e-001	1.290324e-001	3.125000e+005
5.000000000000000e-002	1.000000e+000	1.961775e-002	-5.038748e-001	1.290331e-001	8.000000e+004
5.029296875000000e-002	1.000000e+000	2.031058e-002	-4.969468e-001	1.290331e-001	8.000000e+004
5.311104910714286e-002	1.000000e+000	2.690242e-002	-4.310285e-001	1.290327e-001	8.000000e+004
5.592912946428572e-002	1.000000e+000	3.337676e-002	-3.662852e-001	1.290327e-001	8.000000e+004
5.874720982142857e-002	1.000000e+000	3.973358e-002	-3.027170e-001	1.290333e-001	8.000000e+004
6.156529017857143e-002	1.000000e+000	4.597290e-002	-2.403238e-001	1.290344e-001	8.000000e+004
6.438337053571429e-002	1.000000e+000	5.209472e-002	-1.791058e-001	1.290361e-001	8.000000e+004
6.720145089285715e-002	1.000000e+000	5.809903e-002	-1.190628e-001	1.290384e-001	8.000000e+004
7.001953125000000e-002	1.000000e+000	6.398582e-002	-6.019490e-002	1.290411e-001	8.000000e+004
7.099609375000000e-002	1.000000e+000	6.600168e-002	-4.003626e-002	1.290425e-001	8.000000e+004
7.197265625000000e-002	1.000000e+000	6.800440e-002	-2.000919e-002	1.290437e-001	8.000000e+004
7.294921875000000e-002	1.000000e+000	6.999404e-002	-1.128065e-004	1.290462e-001	8.000000e+004
7.392578125000000e-002	1.000000e+000	7.197069e-002	1.965373e-002	1.290487e-001	8.000000e+004
7.490234375000000e-002	1.000000e+000	7.393445e-002	3.929127e-002	1.290428e-001	8.000000e+004
7.587890625000000e-002	1.000000e+000	7.588539e-002	5.880065e-002	1.290299e-001	8.000000e+004
7.685546875000000e-002	1.000000e+000	7.782360e-002	7.818272e-002	1.290246e-001	8.000000e+004
7.978515625000000e-002	1.000000e+000	8.356508e-002	1.355975e-001	1.290279e-001	8.000000e+004
8.000000000000000e-002	1.000000e+000	8.398221e-002	1.397687e-001	1.290279e-001	8.000000e+004
8.009765625000000e-002	1.000000e+000	8.408628e-002	1.408254e-001	1.290292e-001	1.175000e+005
8.029296875000000e-002	1.000000e+000	8.422846e-002	1.422641e-001	1.290305e-001	1.925000e+005
